application_number,sponsor_name,brand_name,generic_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code_description,application_type
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,1,AP,1975-08-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,104,AP,1999-08-27,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,45,AP,1979-06-19,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,98,AP,1996-04-09,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,37,AP,1977-10-20,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,102,AP,1998-04-13,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,96,AP,1995-11-30,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,35,AP,1978-01-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,88,AP,1991-03-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,100,AP,1997-02-24,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,41,AP,1978-05-25,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,94,AP,1995-02-16,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,33,AP,1978-01-18,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,25,AP,1977-07-01,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,92,AP,1993-11-04,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,31,AP,1978-07-31,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,84,AP,1989-07-19,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,76,AP,1985-04-05,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,90,AP,1994-03-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,68,AP,1980-11-20,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,82,AP,1988-06-08,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,21,AP,1976-05-11,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,74,AP,1984-01-30,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,66,AP,1980-08-21,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,8,AP,1976-05-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,80,AP,1987-02-26,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,58,AP,1979-10-19,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,6,AP,1975-08-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,64,AP,1980-03-24,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,70,AP,1983-06-09,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,107,AP,2001-07-09,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,4,AP,1975-08-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,62,AP,1979-08-15,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,54,AP,1978-06-01,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,ORIG,1,AP,1974-10-15,STANDARD,Type 3 - New Dosage Form,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,105,AP,2000-01-05,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,2,AP,1975-08-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,60,AP,1979-05-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,99,AP,1997-01-29,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,103,AP,1998-04-28,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,97,AP,1996-05-10,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,36,AP,1978-03-29,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,101,AP,1999-08-27,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,42,AP,1978-04-17,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,95,AP,1995-09-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,34,AP,1978-01-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,87,AP,1991-09-16,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,79,AP,1987-11-23,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,93,AP,1994-06-28,STANDARD,Labeling,NDA
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,SUPPL,10,AP,2007-07-16,,Labeling,ANDA
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,ORIG,1,AP,2004-07-29,,,ANDA
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,SUPPL,27,AP,2015-04-30,STANDARD,Labeling,ANDA
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,SUPPL,25,AP,2013-01-28,STANDARD,Labeling,ANDA
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,SUPPL,3,AP,2006-12-08,,Labeling,ANDA
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,SUPPL,31,AP,2017-04-14,STANDARD,Labeling,ANDA
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,SUPPL,1,AP,2007-03-08,,Labeling,ANDA
ANDA076296,FRESENIUS KABI USA,VINCRISTINE SULFATE,VINCRISTINE SULFATE,ORIG,1,AP,2002-12-20,,,ANDA
ANDA081299,OHM LABS,CHLORZOXAZONE,CHLORZOXAZONE,SUPPL,1,AP,1994-09-07,,Manufacturing (CMC),ANDA
ANDA081299,OHM LABS,CHLORZOXAZONE,CHLORZOXAZONE,ORIG,1,AP,1993-12-29,,,ANDA
ANDA084215,ROCHE PALO,EVEX,"ESTROGENS, ESTERIFIED",ORIG,1,AP,1977-09-28,,,ANDA
ANDA077138,TEVA PHARMS,CIPROFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,CIPROFLOXACIN,ORIG,1,TA,2005-09-21,,,ANDA
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,SUPPL,5,AP,1981-04-09,PRIORITY,Manufacturing (CMC),NDA
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,SUPPL,3,AP,1978-07-05,PRIORITY,Manufacturing (CMC),NDA
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,SUPPL,1,AP,1976-11-22,PRIORITY,Manufacturing (CMC),NDA
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,SUPPL,6,AP,1986-12-16,PRIORITY,Labeling,NDA
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,SUPPL,4,AP,1979-10-23,PRIORITY,Manufacturing (CMC),NDA
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,ORIG,1,AP,1975-09-12,PRIORITY,Type 1 - New Molecular Entity,NDA
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,SUPPL,2,AP,1978-01-12,PRIORITY,Manufacturing (CMC),NDA
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,SUPPL,6,AP,2011-11-30,,Labeling,ANDA
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,SUPPL,4,AP,2008-08-27,,Labeling,ANDA
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,ORIG,1,AP,2006-10-03,,,ANDA
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,SUPPL,9,AP,2016-01-09,STANDARD,Labeling,ANDA
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,SUPPL,7,AP,2016-01-09,STANDARD,Labeling,ANDA
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,SUPPL,3,AP,2008-03-05,,Labeling,ANDA
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,SUPPL,1,AP,2008-03-20,,Manufacturing (CMC),ANDA
ANDA078037,CHARTWELL MOLECULAR,GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE,ORIG,1,AP,2008-02-27,,,ANDA
ANDA078037,CHARTWELL MOLECULAR,GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE,SUPPL,2,AP,2014-09-18,STANDARD,Labeling,ANDA
ANDA078337,PADAGIS ISRAEL,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,ORIG,1,AP,2012-11-26,,,ANDA
ANDA078631,PLIVA LACHEMA,CARBOPLATIN,CARBOPLATIN,ORIG,1,AP,2008-12-02,,,ANDA
ANDA078939,LUPIN,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,ORIG,1,AP,2009-06-17,,,ANDA
ANDA080016,CHARTWELL MOLECULAR,PROPYLTHIOURACIL,PROPYLTHIOURACIL,SUPPL,9,AP,1990-08-31,,Labeling,ANDA
ANDA080016,CHARTWELL MOLECULAR,PROPYLTHIOURACIL,PROPYLTHIOURACIL,ORIG,1,AP,1970-07-24,,,ANDA
ANDA080016,CHARTWELL MOLECULAR,PROPYLTHIOURACIL,PROPYLTHIOURACIL,SUPPL,8,AP,1990-03-28,,Labeling,ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,196,AP,1988-08-03,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,208,AP,1999-02-19,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,206,AP,1996-12-04,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,184,AP,1982-04-23,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,204,AP,1991-01-11,,Labeling,ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,210,AP,2002-11-20,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,202,AP,1989-10-12,,Labeling,ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,ORIG,1,AP,1974-01-29,,,ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,200,AP,1989-04-11,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,199,AP,1989-04-11,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,195,AP,1988-08-03,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,187,AP,1982-11-03,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,215,AP,2003-06-09,,Labeling,ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,207,AP,1999-02-02,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,191,AP,1986-06-16,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,205,AP,1992-05-06,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,203,AP,1990-04-09,,Labeling,ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,201,AP,1989-10-12,,Labeling,ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,155,AP,1982-04-23,,Manufacturing (CMC),ANDA
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,SUPPL,218,AP,2004-09-27,,Labeling,ANDA
ANDA085164,PARKE DAVIS,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,ORIG,1,AP,1976-08-24,,,ANDA
ANDA085640,SCHERER LABS,"CODEINE, ASPIRIN, APAP FORMULA NO. 2",ACETAMINOPHEN,ORIG,1,AP,1978-05-10,,,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,84,AP,1999-02-19,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,76,AP,1988-12-23,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,68,AP,1982-11-22,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,82,AP,1998-04-30,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,80,AP,1993-04-20,,Labeling,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,72,AP,1986-06-09,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,70,AP,1982-11-22,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,89,AP,2016-10-25,STANDARD,Labeling,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,87,AP,2015-05-11,STANDARD,Labeling,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,79,AP,1991-07-16,,Labeling,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,77,AP,1988-12-23,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,83,AP,1999-02-02,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,75,AP,1988-12-23,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,81,AP,1996-12-04,,Manufacturing (CMC),ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,88,AP,2015-07-20,STANDARD,Labeling,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,ORIG,1,AP,1978-06-23,,,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,86,AP,2014-06-19,STANDARD,Labeling,ANDA
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,SUPPL,78,AP,1990-02-16,,Labeling,ANDA
ANDA090240,LUITPOLD,IBUTILIDE FUMARATE,IBUTILIDE FUMARATE,ORIG,1,AP,2010-01-11,,,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,SUPPL,19,AP,2021-09-20,STANDARD,Labeling,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,SUPPL,6,AP,2014-06-18,STANDARD,Labeling,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,SUPPL,4,AP,2012-09-19,STANDARD,Labeling,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,SUPPL,15,AP,2020-04-14,STANDARD,Labeling,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,SUPPL,13,AP,2017-01-04,STANDARD,Labeling,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,SUPPL,9,AP,2014-07-17,STANDARD,Labeling,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,SUPPL,24,AP,2023-08-18,STANDARD,Labeling,ANDA
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,ORIG,1,AP,2010-04-07,,,ANDA
ANDA090881,SUN PHARM INDS,OLANZAPINE,OLANZAPINE,SUPPL,8,AP,2021-06-17,STANDARD,Labeling,ANDA
ANDA090881,SUN PHARM INDS,OLANZAPINE,OLANZAPINE,ORIG,1,AP,2012-02-28,,,ANDA
ANDA090881,SUN PHARM INDS,OLANZAPINE,OLANZAPINE,SUPPL,4,AP,2015-10-19,STANDARD,Labeling,ANDA
ANDA090881,SUN PHARM INDS,OLANZAPINE,OLANZAPINE,SUPPL,5,AP,2015-10-19,STANDARD,Labeling,ANDA
ANDA090881,SUN PHARM INDS,OLANZAPINE,OLANZAPINE,SUPPL,3,AP,2015-10-19,STANDARD,Labeling,ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,9,AP,1983-12-22,,Manufacturing (CMC),ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,ORIG,1,AP,1980-09-10,,,ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,19,AP,1998-08-19,,Labeling,ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,17,AP,1997-12-19,,Labeling,ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,5,AP,1983-04-28,,Manufacturing (CMC),ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,13,AP,1988-06-27,,Manufacturing (CMC),ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,8,AP,1983-12-22,,Manufacturing (CMC),ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,18,AP,1998-04-08,,Labeling,ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,16,AP,1992-10-16,,Manufacturing (CMC),ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,14,AP,1989-09-12,,Labeling,ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,20,AP,1998-11-03,,Labeling,ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,12,AP,1988-06-27,,Manufacturing (CMC),ANDA
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,SUPPL,10,AP,1984-04-25,,Manufacturing (CMC),ANDA
