application_number,sponsor_name,brand_name,generic_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code_description,application_type,generic_name_clean,brand_name_clean,is_orphan,has_ncd,ncd_category,nadac_per_unit,is_brand,has_nadac_price,launch_price,is_priority_review,is_standard_review,is_nda,is_bla,is_anda,is_new_molecular_entity,is_new_indication,approval_year,approval_month,approval_quarter,regulatory_advantage_score,likely_accelerated,therapeutic_area,therapeutic_area_encoded,is_high_value_area,is_complex_dosage,is_oral_simple,is_biologic,log_launch_price,price_tier,market_size_proxy,month_sin,month_cos,years_since_2010,is_q4_approval,is_election_year,coverage_difficulty_score,target_high_barrier
ANDA085164,PARKE DAVIS,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,ORIG,1,AP,1976-08-24,,,ANDA,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1976,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,-34,0,0,0.3333333333333333,0
ANDA085640,SCHERER LABS,"CODEINE, ASPIRIN, APAP FORMULA NO. 2",ACETAMINOPHEN,ORIG,1,AP,1978-05-10,,,ANDA,acetaminophen,"codeine, aspirin, apap formula no. 2",False,False,,,,False,,False,False,False,False,True,False,False,1978,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,-32,0,0,0.3333333333333333,0
ANDA086029,WATSON LABS,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,ORIG,1,AP,1978-06-23,,,ANDA,testosterone cypionate,testosterone cypionate,False,False,,,,False,,False,False,False,False,True,False,False,1978,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-32,0,0,0.3333333333333333,0
ANDA090240,LUITPOLD,IBUTILIDE FUMARATE,IBUTILIDE FUMARATE,ORIG,1,AP,2010-01-11,,,ANDA,ibutilide fumarate,ibutilide fumarate,False,False,,,,False,,False,False,False,False,True,False,False,2010,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,0,0,0,0.3333333333333333,0
ANDA090555,AUROBINDO PHARMA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,ORIG,1,AP,2010-04-07,,,ANDA,venlafaxine hydrochloride,venlafaxine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2010,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,0,0,0,0.3333333333333333,0
ANDA090881,SUN PHARM INDS,OLANZAPINE,OLANZAPINE,ORIG,1,AP,2012-02-28,,,ANDA,olanzapine,olanzapine,False,False,,,,False,,False,False,False,False,True,False,False,2012,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,2,0,1,0.3333333333333333,0
ANDA087226,CAMALL,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,ORIG,1,AP,1980-09-10,,,ANDA,phentermine hydrochloride,phentermine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1980,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-30,0,0,0.3333333333333333,0
ANDA087646,VANGARD,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,ORIG,1,AP,1981-12-14,,,ANDA,chlorpromazine hydrochloride,chlorpromazine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1981,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-29,1,0,0.3333333333333333,0
ANDA088010,VANGARD,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,ORIG,1,AP,1983-03-28,,,ANDA,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1983,3,1,0,0,other,1,0,0,0,0,0.0,0,0,1.0,6.123233995736766e-17,-27,0,0,0.3333333333333333,0
NDA018608,HOSPIRA,PLEGISOL IN PLASTIC CONTAINER,CALCIUM CHLORIDE,ORIG,1,AP,1982-02-26,PRIORITY,Type 3 - New Dosage Form,NDA,calcium chloride,plegisol in plastic container,False,False,,,,False,,True,False,True,False,False,False,False,1982,2,1,1,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-28,0,0,0.0,0
ANDA018659,MYLAN,ALLOPURINOL,ALLOPURINOL,ORIG,1,AP,1986-10-24,,,ANDA,allopurinol,allopurinol,False,False,,,,False,,False,False,False,False,True,False,False,1986,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,-24,1,0,0.3333333333333333,0
NDA018686,SCHERING,NORMODYNE,LABETALOL HYDROCHLORIDE,ORIG,1,AP,1984-08-01,PRIORITY,Type 1 - New Molecular Entity,NDA,labetalol hydrochloride,normodyne,False,False,,,,False,,True,False,True,False,False,True,False,1984,8,3,2,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,-26,0,0,0.0,0
ANDA091231,APOTEX,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,ORIG,1,AP,2011-01-19,,,ANDA,pantoprazole sodium,pantoprazole sodium,False,False,,,,False,,False,False,False,False,True,False,False,2011,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,1,0,0,0.3333333333333333,0
ANDA091567,SUN PHARM INDS,FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE,ORIG,1,AP,2012-02-06,,,ANDA,fexofenadine hydrochloride,fexofenadine hydrochloride allergy,False,False,,,,False,,False,False,False,False,True,False,False,2012,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,2,0,1,0.3333333333333333,0
ANDA200149,ACTAVIS GRP PTC,SILDENAFIL CITRATE,SILDENAFIL CITRATE,ORIG,1,AP,2013-02-25,,Not Applicable,ANDA,sildenafil citrate,sildenafil citrate,False,False,,,,False,,False,False,False,False,True,False,False,2013,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,3,0,0,0.3333333333333333,0
ANDA200958,BOSTAL,METHOCARBAMOL,METHOCARBAMOL,ORIG,1,AP,2011-10-21,,Not Applicable,ANDA,methocarbamol,methocarbamol,False,False,,,,False,,False,False,False,False,True,False,False,2011,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,1,1,0,0.3333333333333333,0
ANDA201785,PH HEALTH,VARENICLINE TARTRATE,VARENICLINE TARTRATE,ORIG,1,AP,2021-08-11,,Not Applicable,ANDA,varenicline tartrate,varenicline tartrate,False,False,,,,False,,False,False,False,False,True,False,False,2021,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,11,0,0,0.3333333333333333,0
NDA202245,HIKMA,CODEINE SULFATE,CODEINE SULFATE,ORIG,1,AP,2011-06-30,STANDARD,Type 5 - New Formulation or New Manufacturer,NDA,codeine sulfate,codeine sulfate,False,False,,,,False,,False,True,True,False,False,False,False,2011,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,1,0,0,0.3333333333333333,0
ANDA202585,RISING,DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,ORIG,1,AP,2014-11-24,,,ANDA,dexmedetomidine hydrochloride,dexmedetomidine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2014,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,4,1,0,0.3333333333333333,0
ANDA202942,INVAGEN PHARMS,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,ORIG,1,AP,2014-02-05,,,ANDA,phentermine hydrochloride,phentermine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2014,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,4,0,0,0.3333333333333333,0
ANDA203325,ZYDUS PHARMS,TELMISARTAN,TELMISARTAN,ORIG,1,AP,2014-08-26,,,ANDA,telmisartan,telmisartan,False,False,,,,False,,False,False,False,False,True,False,False,2014,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,4,0,0,0.3333333333333333,0
ANDA203710,BIOMEDCL RES FDN,FLUDEOXYGLUCOSE F18,FLUDEOXYGLUCOSE F-18,ORIG,1,AP,2015-05-01,,,ANDA,fludeoxyglucose f-18,fludeoxyglucose f18,False,False,,,,False,,False,False,False,False,True,False,False,2015,5,2,0,0,diabetes,0,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,5,0,0,0.3333333333333333,0
ANDA204074,CHARTWELL RX,DAPSONE,DAPSONE,ORIG,1,AP,2016-05-10,,,ANDA,dapsone,dapsone,False,False,,,,False,,False,False,False,False,True,False,False,2016,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,6,0,1,0.3333333333333333,0
ANDA204469,ONESOURCE SPECIALTY,IBUPROFEN,IBUPROFEN,ORIG,1,AP,2018-03-28,,,ANDA,ibuprofen,ibuprofen,False,False,,,,False,,False,False,False,False,True,False,False,2018,3,1,0,0,other,1,0,0,0,0,0.0,0,0,1.0,6.123233995736766e-17,8,0,0,0.3333333333333333,0
NDA204822,NOVARTIS,IZBA,TRAVOPROST,ORIG,1,AP,2014-05-15,STANDARD,Type 5 - New Formulation or New Manufacturer,NDA,travoprost,izba,False,False,,,,False,,False,True,True,False,False,False,False,2014,5,2,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,-0.8660254037844387,4,0,0,0.3333333333333333,0
ANDA205230,LGM PHARMA,"BUTALBITAL, ASPIRIN AND CAFFEINE",ASPIRIN,ORIG,1,AP,2021-10-18,STANDARD,,ANDA,aspirin,"butalbital, aspirin and caffeine",False,False,,,,False,,False,True,False,False,True,False,False,2021,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,11,1,0,0.3333333333333333,0
ANDA206422,LUPIN,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,ORIG,1,AP,2015-09-02,STANDARD,,ANDA,fluocinolone acetonide,fluocinolone acetonide,False,False,,,,False,,False,True,False,False,True,False,False,2015,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,5,0,0,0.3333333333333333,0
ANDA205661,AUROBINDO PHARMA LTD,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,ORIG,1,AP,2016-07-05,STANDARD,,ANDA,methenamine hippurate,methenamine hippurate,False,False,,,,False,,False,True,False,False,True,False,False,2016,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,6,0,1,0.3333333333333333,0
NDA206024,AIRGAS USA LLC,"NITROGEN, NF",NITROGEN,ORIG,1,AP,2013-09-07,STANDARD,Medical Gas,NDA,nitrogen,"nitrogen, nf",False,False,,,,False,,False,True,True,False,False,False,False,2013,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,3,0,0,0.3333333333333333,0
ANDA207206,VISUM PHARM,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,ORIG,1,AP,2018-12-19,STANDARD,,ANDA,metoprolol succinate,metoprolol succinate,False,False,,,,False,,False,True,False,False,True,False,False,2018,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,8,1,0,0.3333333333333333,0
ANDA206838,JUBILANT GENERICS,LEVETIRACETAM,LEVETIRACETAM,ORIG,1,AP,2016-06-02,STANDARD,,ANDA,levetiracetam,levetiracetam,False,False,,,,False,,False,True,False,False,True,False,False,2016,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,6,0,1,0.3333333333333333,0
ANDA207578,AUROBINDO PHARMA,RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE,ORIG,1,AP,2017-11-13,STANDARD,,ANDA,ranitidine hydrochloride,ranitidine hydrochloride,False,False,,,,False,,False,True,False,False,True,False,False,2017,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,7,1,0,0.3333333333333333,0
NDA019822,GRIFFEN,BIOSCRUB,CHLORHEXIDINE GLUCONATE,ORIG,1,AP,1989-03-31,STANDARD,Type 5 - New Formulation or New Manufacturer,NDA,chlorhexidine gluconate,bioscrub,False,False,,,,False,,False,True,True,False,False,False,False,1989,3,1,0,0,other,1,0,0,0,0,0.0,0,0,1.0,6.123233995736766e-17,-21,0,0,0.3333333333333333,0
NDA019855,AUROBINDO PHARMA USA,ELIMITE,PERMETHRIN,ORIG,1,AP,1989-08-25,STANDARD,Type 3 - New Dosage Form,NDA,permethrin,elimite,False,False,,,,False,,False,True,True,False,False,False,False,1989,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,-21,0,0,0.3333333333333333,0
NDA019890,BRISTOL MYERS SQUIBB,STADOL,BUTORPHANOL TARTRATE,ORIG,1,AP,1991-12-12,STANDARD,Type 3 - New Dosage Form,NDA,butorphanol tartrate,stadol,False,False,,,,False,,False,True,True,False,False,False,False,1991,12,4,0,0,rare_disease,2,1,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-19,1,0,0.0,0
ANDA209081,AUROBINDO PHARMA,RANOLAZINE,RANOLAZINE,ORIG,1,AP,2022-12-23,STANDARD,,ANDA,ranolazine,ranolazine,False,False,,,,False,,False,True,False,False,True,False,False,2022,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,12,1,0,0.3333333333333333,0
ANDA209440,TARO,CLOBAZAM,CLOBAZAM,ORIG,1,AP,2018-10-22,STANDARD,,ANDA,clobazam,clobazam,False,False,,,,False,,False,True,False,False,True,False,False,2018,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,8,1,0,0.3333333333333333,0
ANDA209786,NOVEL LABS INC,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,ORIG,1,AP,2018-08-29,STANDARD,,ANDA,potassium chloride,potassium chloride,False,False,,,,False,,False,True,False,False,True,False,False,2018,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,8,0,0,0.3333333333333333,0
ANDA210119,LUPIN PHARMS,,,ORIG,1,TA,2018-12-07,STANDARD,,ANDA,,,False,False,,,,False,,False,True,False,False,True,False,False,2018,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,8,1,0,0.3333333333333333,0
ANDA210469,TWI PHARMS,FENOFIBRIC ACID,CHOLINE FENOFIBRATE,ORIG,1,AP,2019-07-05,STANDARD,,ANDA,choline fenofibrate,fenofibric acid,False,False,,,,False,,False,True,False,False,True,False,False,2019,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,9,0,0,0.3333333333333333,0
NDA210807,MSD MERCK CO,DELSTRIGO,DORAVIRINE,ORIG,1,AP,2018-08-30,STANDARD,Type 4 - New Combination,NDA,doravirine,delstrigo,False,False,,,,False,,False,True,True,False,False,False,False,2018,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,8,0,0,0.3333333333333333,0
ANDA211156,INVENTIA HLTHCARE,,,ORIG,1,TA,2025-11-20,STANDARD,,ANDA,,,False,False,,,,False,,False,True,False,False,True,False,False,2025,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,15,1,0,0.3333333333333333,0
ANDA211510,TEVA PHARMS USA,LIOTHYRONINE SODIUM,LIOTHYRONINE SODIUM,ORIG,1,AP,2018-10-26,STANDARD,,ANDA,liothyronine sodium,liothyronine sodium,False,False,,,,False,,False,True,False,False,True,False,False,2018,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,8,1,0,0.3333333333333333,0
ANDA211835,TORRENT,APREPITANT,APREPITANT,ORIG,1,AP,2020-10-21,STANDARD,,ANDA,aprepitant,aprepitant,False,False,,,,False,,False,True,False,False,True,False,False,2020,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,10,1,1,0.3333333333333333,0
ANDA212932,AMNEAL,EPHEDRINE SULFATE,EPHEDRINE SULFATE,ORIG,1,AP,2019-10-23,STANDARD,,ANDA,ephedrine sulfate,ephedrine sulfate,False,False,,,,False,,False,True,False,False,True,False,False,2019,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,9,1,0,0.3333333333333333,0
NDA212209,AZURITY,VIVIMUSTA,BENDAMUSTINE HYDROCHLORIDE,ORIG,1,AP,2022-12-07,STANDARD,Type 5 - New Formulation or New Manufacturer,NDA,bendamustine hydrochloride,vivimusta,False,False,,,,False,,False,True,True,False,False,False,False,2022,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,12,1,0,0.3333333333333333,0
ANDA212564,YABAO PHARM,CELECOXIB,CELECOXIB,ORIG,1,AP,2023-04-10,STANDARD,,ANDA,celecoxib,celecoxib,False,False,,,,False,,False,True,False,False,True,False,False,2023,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,13,0,0,0.3333333333333333,0
ANDA213321,GRANULES,"BUTALBITAL, ACETAMINOPHEN AND CAFFEINE",ACETAMINOPHEN,ORIG,1,AP,2020-04-08,STANDARD,,ANDA,acetaminophen,"butalbital, acetaminophen and caffeine",False,False,,,,False,,False,True,False,False,True,False,False,2020,4,2,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844387,-0.4999999999999998,10,0,1,0.3333333333333333,0
ANDA213695,JUBILANT GENERICS,OSELTAMIVIR PHOSPHATE,OSELTAMIVIR PHOSPHATE,ORIG,1,AP,2025-03-03,STANDARD,,ANDA,oseltamivir phosphate,oseltamivir phosphate,False,False,,,,False,,False,True,False,False,True,False,False,2025,3,1,0,0,other,1,0,0,0,0,0.0,0,0,1.0,6.123233995736766e-17,15,0,0,0.3333333333333333,0
ANDA214134,SUN PHARM INDS INC,LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,ORIG,1,AP,2023-08-25,STANDARD,,ANDA,lisdexamfetamine dimesylate,lisdexamfetamine dimesylate,False,False,,,,False,,False,True,False,False,True,False,False,2023,8,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,13,0,0,0.3333333333333333,0
ANDA214549,TEVA PHARMS USA INC,ERYTHROMYCIN,ERYTHROMYCIN,ORIG,1,AP,2021-02-11,STANDARD,,ANDA,erythromycin,erythromycin,False,False,,,,False,,False,True,False,False,True,False,False,2021,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,11,0,0,0.3333333333333333,0
ANDA214969,APOTEX,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,ORIG,1,AP,2021-09-02,STANDARD,,ANDA,atorvastatin calcium,atorvastatin calcium,False,False,,,,False,,False,True,False,False,True,False,False,2021,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,11,0,0,0.3333333333333333,0
ANDA215408,TEVA PHARMS,DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,ORIG,1,AP,2023-02-17,STANDARD,,ANDA,doxepin hydrochloride,doxepin hydrochloride,False,False,,,,False,,False,True,False,False,True,False,False,2023,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,13,0,0,0.3333333333333333,0
ANDA215835,MICRO LABS,CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,ORIG,1,AP,2022-07-19,STANDARD,,ANDA,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride and clidinium bromide,False,False,,,,False,,False,True,False,False,True,False,False,2022,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,12,0,0,0.3333333333333333,0
ANDA216291,DR REDDYS,NEOSTIGMINE METHYLSULFATE,NEOSTIGMINE METHYLSULFATE,ORIG,1,AP,2022-07-06,STANDARD,,ANDA,neostigmine methylsulfate,neostigmine methylsulfate,False,False,,,,False,,False,True,False,False,True,False,False,2022,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,12,0,0,0.3333333333333333,0
ANDA216726,ABON PHARMS LLC,SUCRALFATE,SUCRALFATE,ORIG,1,AP,2024-03-21,STANDARD,,ANDA,sucralfate,sucralfate,False,False,,,,False,,False,True,False,False,True,False,False,2024,3,1,0,0,other,1,0,0,0,0,0.0,0,0,1.0,6.123233995736766e-17,14,0,1,0.3333333333333333,0
NDA020696,PAR PHARM INC,ANTIZOL,FOMEPIZOLE,ORIG,1,AP,1997-12-04,STANDARD,Type 1 - New Molecular Entity,NDA,fomepizole,antizol,False,False,,,,False,,False,True,True,False,False,True,False,1997,12,4,1,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-13,1,0,0.3333333333333333,0
NDA020723,BAUSCH,ALDARA,IMIQUIMOD,ORIG,1,AP,1997-02-27,STANDARD,Type 1 - New Molecular Entity,NDA,imiquimod,aldara,False,False,,,,False,,False,True,True,False,False,True,False,1997,2,1,1,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-13,0,0,0.3333333333333333,0
